Target,Entropy_PMA,Compound_Count_PMA,Entropy_noPMA,Compound_Count_noPMA,Entropy_Diff,Avg_Compound_Count
Glucocorticoid_Receptor,0.527658531,45,1.67779831,48,-1.150139779,46.5
GluR,0.955699891,7,1.791759469,6,-0.836059578,6.5
GSK,1.757722668,19,2.552085298,19,-0.79436263,19
MEK,1.037908333,18,1.714743116,18,-0.676834783,18
ERK,1.747966237,16,2.351257284,18,-0.603291047,17
H+/K+_ATPase,1.549826046,7,2.145841753,11,-0.596015707,9
ALK,1.841390375,15,2.41334064,22,-0.571950265,18.5
STAT,1.97018144,14,2.527519151,20,-0.557337711,17
Lanosterol_Demethylase,1.277034259,7,1.791759469,6,-0.51472521,6.5
Dihydropteroate_Synthase,1.33217904,5,1.836422387,16,-0.504243347,10.5
IL_Receptor,1.560710409,6,2.043191871,9,-0.482481462,7.5
Histone_Demethylase,1.609437912,5,2.079441542,8,-0.470003629,6.5
ACE,1.560710409,6,2.025326221,10,-0.464615812,8
JAK,2.352417736,34,2.783207412,32,-0.430789676,33
ATM/ATR,1.973001406,10,2.397895273,11,-0.424893866,10.5
Influenza_Virus,1.945910149,7,2.36938212,12,-0.423471971,9.5
RAF,1.748067349,10,2.163955657,10,-0.415888308,10
TNF,1.33217904,5,1.732867951,8,-0.400688911,6.5
Sirtuin,2.098147389,13,2.48490665,12,-0.386759261,12.5
PARP,2.206160848,24,2.588573163,17,-0.382412314,20.5
NFkB,2.785485442,43,3.159724324,42,-0.374238882,42.5
Aromatase,1.609437912,5,1.945910149,7,-0.336472237,6
DUB,1.925121191,13,2.245035274,13,-0.319914083,13
Parasite,2.057897532,13,2.351673302,13,-0.29377577,13
Sodium/glucose_cotransporter,1.791759469,6,2.079441542,8,-0.287682072,7
Endothelin_Receptor,1.33217904,5,1.609437912,5,-0.277258872,5
Antioxidant,2.415776056,28,2.652587535,19,-0.236811479,23.5
PDK,1.560710409,6,1.791759469,6,-0.23104906,6
Mitochondria_Associated,2.026229623,15,2.231606952,17,-0.205377329,16
Calcium_Channel,2.57523661,31,2.771169641,26,-0.195933031,28.5
BCL,2.262386254,17,2.45831133,13,-0.195925075,15
